Motivation_Level,Exam_Score,Sleep_Level,Study_Level,Attendance_Level
Low,67,Medium,Medium,High
Low,61,High,Low,Medium
Medium,74,Medium,Medium,High
Medium,71,High,Medium,High
Medium,70,Medium,Low,High
Medium,71,High,Low,High
Low,67,Medium,Medium,High
Medium,66,Medium,Medium,Medium
High,69,Medium,Low,High
Medium,72,High,Medium,High
Medium,68,High,Low,Medium
Low,71,Medium,Low,High
Low,70,High,Low,High
Medium,66,High,Low,High
Medium,65,High,Low,Medium
Medium,64,High,Low,Medium
Low,60,High,Low,Low
Medium,65,Medium,Medium,Medium
Low,67,High,Low,Medium
Medium,66,Medium,Low,Medium
High,69,Medium,Medium,Medium
Medium,72,Medium,Low,High
Low,66,High,Low,Medium
High,66,High,Low,Medium
Medium,63,Medium,Low,Medium
High,64,Medium,Low,Medium
Medium,65,Medium,Low,High
Medium,71,Medium,Medium,High
Medium,66,Low,Low,High
Low,64,Low,Low,Medium
Medium,63,Medium,Low,High
Medium,69,Medium,Medium,Medium
Medium,67,High,Low,Medium
Medium,61,Medium,Low,Low
Medium,68,Medium,Medium,Medium
Low,61,Medium,Low,Medium
Low,64,Medium,Low,Medium
Low,67,High,Low,High
Medium,63,High,Low,Medium
Low,64,Medium,Low,Medium
Low,67,High,Medium,Medium
Low,65,Medium,Low,High
Medium,64,Medium,Low,Medium
Medium,70,Medium,Low,High
Low,68,High,Low,High
Medium,65,High,Low,Medium
Medium,68,Medium,Low,Medium
Medium,64,Medium,Medium,Medium
Low,68,Medium,Medium,High
Medium,63,Medium,Low,Medium
Low,64,Medium,Medium,Medium
Medium,64,Medium,Low,Medium
Medium,67,High,Low,High
Medium,67,High,Medium,Medium
Low,66,Medium,Medium,Medium
Medium,72,Medium,Medium,High
Low,65,Medium,Low,High
High,71,Medium,Low,High
Medium,66,High,Medium,Medium
Medium,68,High,Medium,High
Medium,70,Medium,Low,High
Low,62,High,Low,Medium
High,68,High,Low,High
High,67,High,Low,Medium
Medium,71,High,Medium,High
Medium,68,High,Medium,Medium
Medium,69,High,Low,High
High,70,Low,Medium,Medium
Low,69,Medium,Medium,High
Medium,65,Medium,Low,Medium
Medium,70,Medium,Medium,High
Medium,71,Medium,Medium,High
Medium,65,Medium,Low,Medium
Medium,72,Low,Medium,High
High,69,High,Low,High
Medium,66,Medium,Medium,Medium
Medium,68,Medium,Low,Medium
Medium,65,High,Low,High
Medium,64,Medium,Low,Medium
Medium,60,Medium,Low,Medium
High,65,Medium,Low,Medium
High,66,Medium,Medium,Medium
Low,74,Low,Medium,Medium
High,62,Medium,Low,Medium
Medium,70,Medium,Low,High
Low,69,Medium,Low,High
Medium,67,Medium,Medium,Medium
Medium,64,Medium,Medium,High
High,71,Medium,Low,High
Low,68,Medium,Medium,High
